Detailed Statistics Airborne Time  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Origin Airport,Destination Airport,Airborne Time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","02/15/2023","1992","N905AU","SEA","DFW","207","0","0","0","0","0"
"AA","02/15/2023","2748","N996AN","SEA","DFW","203","0","0","0","0","0"
"AA","02/15/2023","2767","N567UW","SEA","DFW","216","0","0","0","0","0"
"AA","02/15/2023","2769","N127AA","SEA","DFW","212","0","0","0","0","0"
"AA","02/16/2023","1470","N159AN","SEA","DFW","197","0","0","0","0","0"
"AA","02/16/2023","1667","N403AN","SEA","DFW","201","0","0","0","0","0"
"AA","02/16/2023","1992","N164NN","SEA","DFW","201","0","0","0","0","0"
"AA","02/16/2023","2748","N164NN","SEA","DFW","209","0","0","0","0","0"
"AA","02/16/2023","2767","N567UW","SEA","DFW","199","0","0","0","0","0"
"AA","02/16/2023","2769","N910AU","SEA","DFW","200","0","0","0","0","0"
"AA","02/17/2023","1470","N563UW","SEA","DFW","194","0","0","0","0","0"
"AA","02/17/2023","1667","N461AN","SEA","DFW","195","0","0","0","0","0"
"AA","02/17/2023","1992","N929AA","SEA","DFW","200","0","0","0","0","0"
"AA","02/17/2023","2748","N905AU","SEA","DFW","194","0","0","0","0","0"
"AA","02/17/2023","2767","N192UW","SEA","DFW","197","87","0","0","0","4"
"AA","02/17/2023","2769","N910AU","SEA","DFW","199","0","0","0","0","0"
"AA","02/18/2023","1470","N996AN","SEA","DFW","187","0","0","0","0","0"
"AA","02/18/2023","1667","N447AN","SEA","DFW","198","0","0","0","0","0"
"AA","02/18/2023","2748","N126AN","SEA","DFW","198","0","0","0","0","0"
"AA","02/18/2023","2767","N924US","SEA","DFW","192","0","0","0","0","0"
"AA","02/18/2023","2769","N120EE","SEA","DFW","192","0","0","0","0","0"
"AA","02/19/2023","1470","N996AN","SEA","DFW","184","0","0","0","0","0"
"AA","02/19/2023","1667","N408AN","SEA","DFW","185","0","0","0","0","0"
"AA","02/19/2023","1992","N162UW","SEA","DFW","188","0","0","0","0","0"
"AA","02/19/2023","2748","N913US","SEA","DFW","187","0","0","0","0","0"
"AA","02/19/2023","2767","N119NN","SEA","DFW","184","0","0","0","0","0"
"AA","02/19/2023","2769","N166NN","SEA","DFW","184","0","0","0","0","0"
"AA","02/20/2023","1470","N119NN","SEA","DFW","187","0","0","0","0","0"
"AA","02/20/2023","1667","N437AN","SEA","DFW","180","0","0","0","0","0"
"AA","02/20/2023","1992","N131NN","SEA","DFW","190","0","0","0","0","0"
"AA","02/20/2023","2748","N131NN","SEA","DFW","181","0","0","0","0","0"
"AA","02/20/2023","2767","N545UW","SEA","DFW","187","0","0","0","0","0"
"AA","02/20/2023","2769","N933AM","SEA","DFW","185","0","0","0","0","0"
"AA","02/21/2023","1470","N904AA","SEA","DFW","213","0","0","0","0","0"
"AA","02/21/2023","1667","N467AL","SEA","DFW","184","0","0","0","0","0"
"AA","02/21/2023","1992","N120EE","SEA","DFW","199","0","0","0","0","0"
"AA","02/21/2023","2748","N903AA","SEA","DFW","187","0","0","0","0","0"
"AA","02/21/2023","2767","N587UW","SEA","DFW","195","0","0","0","0","0"
"AA","02/21/2023","2769","N136AN","SEA","DFW","205","2","0","21","0","0"
"AA","02/22/2023","1470","N153AN","SEA","DFW","199","0","0","0","0","0"
"AA","02/22/2023","1667","N450AN","SEA","DFW","203","0","0","27","0","0"
"AA","02/22/2023","1992","N142AN","SEA","DFW","200","0","0","0","0","0"
"AA","02/22/2023","2748","N142AN","SEA","DFW","203","0","0","0","0","0"
"AA","02/22/2023","2767","N540UW","SEA","DFW","206","0","0","15","0","0"
"AA","02/22/2023","2769","N929AA","SEA","DFW","202","0","0","0","0","0"
"AA","02/23/2023","1470","N161AA","SEA","DFW","199","462","0","0","0","0"
"AA","02/23/2023","1667","N456AN","SEA","DFW","204","2","0","21","0","0"
"AA","02/23/2023","1992","N157AA","SEA","DFW","204","0","0","0","0","0"
"AA","02/23/2023","2748","N157AA","SEA","DFW","201","0","0","0","0","0"
"AA","02/23/2023","2767","N182UW","SEA","DFW","205","0","0","0","0","0"
"AA","02/23/2023","2769","N987AM","SEA","DFW","209","0","0","0","0","0"
"AA","02/24/2023","1470","N994AN","SEA","DFW","203","0","0","0","0","0"
"AA","02/24/2023","1667","N437AN","SEA","DFW","201","131","0","0","0","0"
"AA","02/24/2023","1992","N973UY","SEA","DFW","203","0","0","0","0","0"
"AA","02/24/2023","2748","N988AL","SEA","DFW","207","0","0","0","0","0"
"AA","02/24/2023","2767","N583UW","SEA","DFW","207","0","0","0","0","0"
"AA","02/24/2023","2769","N141NN","SEA","DFW","200","0","0","0","0","0"
"AA","02/25/2023","1470","N130AN","SEA","DFW","200","0","0","0","0","0"
"AA","02/25/2023","1667","N440AN","SEA","DFW","195","320","0","25","0","1070"
"AA","02/25/2023","1992","N156AN","SEA","DFW","198","0","0","0","0","0"
"AA","02/25/2023","2748","N156AN","SEA","DFW","206","0","0","0","0","0"
"AA","02/25/2023","2767","N913US","SEA","DFW","202","0","0","0","0","0"
"AA","02/25/2023","2769","N998AN","SEA","DFW","199","3","0","0","0","125"
